id,folder,subject,sender_name,sender_email,delivery_time,size,attachments_count
93b6b63dffbe3574,Top of Outlook data file/Contacts/Recipient Cache,,,,2020-01-20 20:02:08,0,0
801c484f33c28ed9,Top of Outlook data file/Contacts/Recipient Cache,Skype,,,2020-01-08 18:00:58,0,0
54d17ea95155cbd7,Top of Outlook data file/Contacts/Recipient Cache,,,,2020-01-08 18:00:58,0,0
a3d2de0328b55c37,Top of Outlook data file/Contacts/Recipient Cache,,,,2020-01-08 18:00:58,0,0
5ec1761db33d7e5a,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-08-29 00:16:37,0,0
ee5af6fe51555b84,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-07-24 12:05:15,0,0
60558533fb4ce8e0,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-07-24 12:02:43,0,0
302ea3d10eb2459b,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-07-07 21:05:59,0,0
bb69c7d2c74024c4,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-05-24 19:45:26,0,0
40832825c4a889b1,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-05-12 18:27:08,0,0
40dfeaa0ebe67bab,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-05-07 17:43:40,0,0
0a366872dccbef7f,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-05-07 15:23:02,0,0
691a0b86afc72047,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-05-05 06:32:08,0,0
93a51416727b8822,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-04-18 20:04:00,0,0
7e633d7ade1b81d6,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-04-10 01:11:53,0,0
f150ec883e44ebaf,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-04-09 18:21:44,0,0
762d802568cf3255,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-04-08 15:28:38,0,0
8ea9c3aa2165e37f,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-03-15 06:45:51,0,0
93b8d5913cd9651e,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-02-24 10:47:24,0,0
fad7d8ef0c7eaba7,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-02-19 13:33:52,0,0
45bea1d01dfccfb3,Top of Outlook data file/Contacts/Recipient Cache,,,,2019-01-31 01:09:21,0,0
